Word,Frequency
bcoz,10
danish,10
equal,10
yellow,10
indoors,10
deck,10
resist,10
cola,10
fillet,10
default,9
spirit,9
royyala,9
manoj,9
pathar,9
taco,9
overlook,9
colourful,9
kiwi,9
elsewhere,9
drunk,9
exclusive,9
baking,9
boring,9
luscious,9
official,9
kulchas,9
purpose,9
surprising,9
killer,9
shantanu,9
dear,9
ridiculous,9
gochibowli,9
soya,9
rara,9
exp,9
print,9
krishna,9
gulp,9
dominate,9
rise,9
appreciable,9
aura,9
behind,9
rescue,9
excuse,9
locality,9
exceed,9
liking,9
eats,9
reheat,9
tiffin,9
lacha,9
facebook,9
spicey,9
truffle,9
verdict,9
ton,9
meant,9
instantly,9
respectful,9
earth,9
phad,9
control,9
leftover,9
vr,9
couch,9
satisfying,9
child,9
preferred,9
mock,9
km,9
description,9
rid,9
treasure,9
specialty,9
childhood,9
art,9
tail,9
fruity,9
sonalin,9
throat,9
sundae,9
fond,9
modern,9
whip,9
broth,9
stupid,9
zone,9
plant,9
greek,9
exact,9
pain,9
junction,9
comfortably,9
suit,9
sabudana,9
occupied,9
kolkata,9
join,9
makhanwala,9
chatpata,9
argument,9
hello,9
chana,9
fluffy,9
clue,9
hassle,9
pattaya,9
skin,9
brother,9
biriyanis,9
sun,9
shrimp,9
quiche,9
additional,9
nom,9
act,9
differently,9
anybody,9
lucky,9
weekdays,9
fasoos,9
uber,9
inclusive,9
win,9
bag,9
push,9
frame,9
effect,9
gopal,9
restaurent,9
rainy,9
indi,9
matar,9
possibly,9
qty,9
ill,9
bhara,9
lasooni,9
yogurt,9
constantly,9
appetiser,9
rubina,9
winner,9
guava,9
attempt,9
bed,9
saute,9
maple,9
struggle,9
rogue,9
message,9
feature,9
vast,9
nt,9
former,9
bird,9
poppy,9
numerous,9
njoy,9
shitty,9
jus,8
agent,8
falafel,8
thankyou,8
laccha,8
authenticity,8
pink,8
isnt,8
industry,8
loot,8
iced,8
singer,8
pourhouse,8
queue,8
christmas,8
basa,8
hummus,8
excess,8
mongolian,8
eggless,8
abs,8
mother,8
separately,8
correctly,8
hv,8
mrp,8
